"Kirjauspäivä";"Arvopäivä";"Määrä EUROA";"Laji";"Selitys";"Saaja/Maksaja";"Saajan tilinumero";"Saajan pankin BIC";"Viite";"Viesti";"Arkistointitunnus"
"2025-07-07";"2025-07-07";"-299,05";"162";"PKORTTIMAKSU";"Supermarket Plus";"";"";"ref=";"Viesti: DEMO CARD PURCHASE Supermarket Plus";"20250707/DEMO/000032"
"2025-07-09";"2025-07-09";"-95,70";"162";"PKORTTIMAKSU";"City Power";"";"";"ref=";"Viesti: DEMO CARD PURCHASE City Power";"20250709/DEMO/000033"
"2025-07-11";"2025-07-11";"-67,47";"162";"PKORTTIMAKSU";"Metro Transport";"";"";"ref=";"Viesti: DEMO CARD PURCHASE Metro Transport";"20250711/DEMO/000034"
"2025-07-13";"2025-07-13";"-40,09";"162";"PKORTTIMAKSU";"Restaurant Roma";"";"";"ref=";"Viesti: DEMO CARD PURCHASE Restaurant Roma";"20250713/DEMO/000035"
"2025-08-05";"2025-08-05";"987,47";"506";"TILISIIRTO";"Demo Personal Household";"";"";"ref=";"Viesti: Own transfer";"20250805/DEMO/000036"
"2025-08-07";"2025-08-07";"-307,75";"162";"PKORTTIMAKSU";"Supermarket Plus";"";"";"ref=";"Viesti: DEMO CARD PURCHASE Supermarket Plus";"20250807/DEMO/000037"
"2025-08-09";"2025-08-09";"-82,44";"162";"PKORTTIMAKSU";"City Power";"";"";"ref=";"Viesti: DEMO CARD PURCHASE City Power";"20250809/DEMO/000038"
"2025-08-11";"2025-08-11";"-58,83";"162";"PKORTTIMAKSU";"Metro Transport";"";"";"ref=";"Viesti: DEMO CARD PURCHASE Metro Transport";"20250811/DEMO/000039"
"2025-08-13";"2025-08-13";"-48,70";"162";"PKORTTIMAKSU";"Restaurant Roma";"";"";"ref=";"Viesti: DEMO CARD PURCHASE Restaurant Roma";"20250813/DEMO/000040"
"2025-09-05";"2025-09-05";"968,88";"506";"TILISIIRTO";"Demo Personal Household";"";"";"ref=";"Viesti: Own transfer";"20250905/DEMO/000041"
"2025-09-07";"2025-09-07";"-278,76";"162";"PKORTTIMAKSU";"Supermarket Plus";"";"";"ref=";"Viesti: DEMO CARD PURCHASE Supermarket Plus";"20250907/DEMO/000042"
"2025-09-09";"2025-09-09";"-79,42";"162";"PKORTTIMAKSU";"City Power";"";"";"ref=";"Viesti: DEMO CARD PURCHASE City Power";"20250909/DEMO/000043"
"2025-09-11";"2025-09-11";"-54,25";"162";"PKORTTIMAKSU";"Metro Transport";"";"";"ref=";"Viesti: DEMO CARD PURCHASE Metro Transport";"20250911/DEMO/000044"
"2025-09-13";"2025-09-13";"-44,60";"162";"PKORTTIMAKSU";"Restaurant Roma";"";"";"ref=";"Viesti: DEMO CARD PURCHASE Restaurant Roma";"20250913/DEMO/000045"
"2025-10-05";"2025-10-05";"964,88";"506";"TILISIIRTO";"Demo Personal Household";"";"";"ref=";"Viesti: Own transfer";"20251005/DEMO/000046"
"2025-10-07";"2025-10-07";"-262,77";"162";"PKORTTIMAKSU";"Supermarket Plus";"";"";"ref=";"Viesti: DEMO CARD PURCHASE Supermarket Plus";"20251007/DEMO/000047"
"2025-10-09";"2025-10-09";"-91,75";"162";"PKORTTIMAKSU";"City Power";"";"";"ref=";"Viesti: DEMO CARD PURCHASE City Power";"20251009/DEMO/000048"
"2025-10-11";"2025-10-11";"-67,91";"162";"PKORTTIMAKSU";"Metro Transport";"";"";"ref=";"Viesti: DEMO CARD PURCHASE Metro Transport";"20251011/DEMO/000049"
"2025-10-13";"2025-10-13";"-50,63";"162";"PKORTTIMAKSU";"Restaurant Roma";"";"";"ref=";"Viesti: DEMO CARD PURCHASE Restaurant Roma";"20251013/DEMO/000050"
"2025-11-05";"2025-11-05";"937,40";"506";"TILISIIRTO";"Demo Personal Household";"";"";"ref=";"Viesti: Own transfer";"20251105/DEMO/000051"
"2025-11-07";"2025-11-07";"-279,04";"162";"PKORTTIMAKSU";"Supermarket Plus";"";"";"ref=";"Viesti: DEMO CARD PURCHASE Supermarket Plus";"20251107/DEMO/000052"
"2025-11-09";"2025-11-09";"-97,05";"162";"PKORTTIMAKSU";"City Power";"";"";"ref=";"Viesti: DEMO CARD PURCHASE City Power";"20251109/DEMO/000053"
"2025-11-11";"2025-11-11";"-56,53";"162";"PKORTTIMAKSU";"Metro Transport";"";"";"ref=";"Viesti: DEMO CARD PURCHASE Metro Transport";"20251111/DEMO/000054"
"2025-11-13";"2025-11-13";"-52,84";"162";"PKORTTIMAKSU";"Restaurant Roma";"";"";"ref=";"Viesti: DEMO CARD PURCHASE Restaurant Roma";"20251113/DEMO/000055"
"2025-12-05";"2025-12-05";"978,27";"506";"TILISIIRTO";"Demo Personal Household";"";"";"ref=";"Viesti: Own transfer";"20251205/DEMO/000056"
"2025-12-07";"2025-12-07";"-253,00";"162";"PKORTTIMAKSU";"Supermarket Plus";"";"";"ref=";"Viesti: DEMO CARD PURCHASE Supermarket Plus";"20251207/DEMO/000057"
"2025-12-09";"2025-12-09";"-86,18";"162";"PKORTTIMAKSU";"City Power";"";"";"ref=";"Viesti: DEMO CARD PURCHASE City Power";"20251209/DEMO/000058"
"2025-12-11";"2025-12-11";"-65,49";"162";"PKORTTIMAKSU";"Metro Transport";"";"";"ref=";"Viesti: DEMO CARD PURCHASE Metro Transport";"20251211/DEMO/000059"
"2025-12-13";"2025-12-13";"-52,05";"162";"PKORTTIMAKSU";"Restaurant Roma";"";"";"ref=";"Viesti: DEMO CARD PURCHASE Restaurant Roma";"20251213/DEMO/000060"
